2022-06-30 07:03:28,834 - INFO - Adding job tentatively -- it will be properly scheduled when the scheduler starts
2022-06-30 07:03:28,835 - INFO - Added job "Cache.is_it_time_to_dump" to job store "default"
2022-06-30 07:03:28,835 - INFO - Scheduler started
2022-06-30 07:03:28,838 - INFO - Started server process [1]
2022-06-30 07:03:28,838 - INFO - Waiting for application startup.
2022-06-30 07:03:28,839 - INFO - Application startup complete.
2022-06-30 07:03:28,840 - INFO - Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2022-06-30 07:19:48,837 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:20:08 UTC)" executed successfully
2022-06-30 07:20:08,836 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:20:28 UTC)" (scheduled at 2022-06-30 07:20:08.834505+00:00)
2022-06-30 07:20:08,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:20:28 UTC)" executed successfully
2022-06-30 07:20:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:20:48 UTC)" (scheduled at 2022-06-30 07:20:28.834505+00:00)
2022-06-30 07:20:28,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:20:48 UTC)" executed successfully
2022-06-30 07:20:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:21:08 UTC)" (scheduled at 2022-06-30 07:20:48.834505+00:00)
2022-06-30 07:20:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:20:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:21:08 UTC)" executed successfully
2022-06-30 07:21:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:21:28 UTC)" (scheduled at 2022-06-30 07:21:08.834505+00:00)
2022-06-30 07:21:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:21:28 UTC)" executed successfully
2022-06-30 07:21:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:21:48 UTC)" (scheduled at 2022-06-30 07:21:28.834505+00:00)
2022-06-30 07:21:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:21:48 UTC)" executed successfully
2022-06-30 07:21:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:22:08 UTC)" (scheduled at 2022-06-30 07:21:48.834505+00:00)
2022-06-30 07:21:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:21:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:22:08 UTC)" executed successfully
2022-06-30 07:22:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:22:28 UTC)" (scheduled at 2022-06-30 07:22:08.834505+00:00)
2022-06-30 07:22:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:22:28 UTC)" executed successfully
2022-06-30 07:22:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:22:48 UTC)" (scheduled at 2022-06-30 07:22:28.834505+00:00)
2022-06-30 07:22:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:22:48 UTC)" executed successfully
2022-06-30 07:22:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:23:08 UTC)" (scheduled at 2022-06-30 07:22:48.834505+00:00)
2022-06-30 07:22:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:22:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:23:08 UTC)" executed successfully
2022-06-30 07:23:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:23:28 UTC)" (scheduled at 2022-06-30 07:23:08.834505+00:00)
2022-06-30 07:23:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:23:28 UTC)" executed successfully
2022-06-30 07:23:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:23:48 UTC)" (scheduled at 2022-06-30 07:23:28.834505+00:00)
2022-06-30 07:23:28,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:23:48 UTC)" executed successfully
2022-06-30 07:23:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:24:08 UTC)" (scheduled at 2022-06-30 07:23:48.834505+00:00)
2022-06-30 07:23:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:23:48,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:24:08 UTC)" executed successfully
2022-06-30 07:24:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:24:28 UTC)" (scheduled at 2022-06-30 07:24:08.834505+00:00)
2022-06-30 07:24:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:24:28 UTC)" executed successfully
2022-06-30 07:24:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:24:48 UTC)" (scheduled at 2022-06-30 07:24:28.834505+00:00)
2022-06-30 07:24:28,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:24:48 UTC)" executed successfully
2022-06-30 07:24:48,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:25:08 UTC)" (scheduled at 2022-06-30 07:24:48.834505+00:00)
2022-06-30 07:24:48,835 - INFO - Cache timed-out, but was empty. Resetting timer
2022-06-30 07:24:48,836 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:25:08 UTC)" executed successfully
2022-06-30 07:25:08,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:25:28 UTC)" (scheduled at 2022-06-30 07:25:08.834505+00:00)
2022-06-30 07:25:08,835 - INFO - Job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:25:28 UTC)" executed successfully
2022-06-30 07:25:28,835 - INFO - Running job "Cache.is_it_time_to_dump (trigger: interval[0:00:20], next run at: 2022-06-30 07:25:48 UTC)" (scheduled at 2022-06-30 07:25:28.834505+00:00)
